Country,state_name,Year,Name Of The Region,Additional Info,"Distribution Of Offices Of Scheduled Commercial Banks (UOM:Number), Scaling Factor:1","Credit-Deposit Ratio Of Scheduled Commercial Banks According To Place Of Sanction (UOM:Ratio), Scaling Factor:1","Credit-Deposit Ratio Of Scheduled Commercial Banks According To Place Of Utilisation (UOM:Ratio), Scaling Factor:1","Deposits By Scheduled Commercial Banks In India (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit By Scheduled Commercial Banks In India (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit To Agriculture By Scheduled Commercial Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit To Industry By Scheduled Commercial Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Personal Loans By Scheduled Commercial Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Deposits Of Regional Rural Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit Of Regional Rural Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit-Deposit Ratio Of Regional Rural Banks (UOM:Ratio), Scaling Factor:1","Number Of Branches Of Regional Rural Banks (UOM:Number), Scaling Factor:1"
India,Mizoram,"Calendar Year (Jan - Dec), 2024",North-Eastern Region,,235.0,50.8,51.1,15713.0,8036.0,670.0,545.0,5344.0,5283.0,3283.0,62.1,107.0
India,Nagaland,"Calendar Year (Jan - Dec), 2024",North-Eastern Region,,209.0,51.5,52.8,17135.0,9044.0,409.0,487.0,6932.0,142.0,64.0,45.3,13.0
India,Odisha,"Calendar Year (Jan - Dec), 2024",Eastern Region,,5712.0,48.1,51.0,522543.0,266459.0,42704.0,49289.0,85791.0,25324.0,13726.0,54.2,1002.0
India,Puducherry,"Calendar Year (Jan - Dec), 2024",Southern Region,,285.0,69.9,72.5,30226.0,21902.0,5766.0,1762.0,9138.0,1101.0,1340.0,121.7,47.0
India,Punjab,"Calendar Year (Jan - Dec), 2024",Northern Region,,6784.0,58.3,60.9,617489.0,376180.0,80589.0,86546.0,119903.0,13486.0,10960.0,81.3,454.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2024",Northern Region,,8552.0,86.7,91.8,670970.0,615918.0,144797.0,108042.0,210937.0,47295.0,37181.0,78.6,1612.0
India,Sikkim,"Calendar Year (Jan - Dec), 2024",Eastern Region,,176.0,44.2,44.6,14748.0,6583.0,266.0,854.0,3890.0,,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2024",Southern Region,,12832.0,113.0,117.7,1344553.0,1582851.0,357805.0,300948.0,425254.0,20761.0,25130.0,121.0,677.0
India,Telangana,"Calendar Year (Jan - Dec), 2024",Southern Region,,6047.0,110.4,119.4,788091.0,940895.0,131800.0,213953.0,388100.0,24861.0,37057.0,149.1,940.0
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2024",Western Region,Since 2020 figures for Dadra & Nagar Haveli include Daman & Diu as well,,22.05,25.0,15655.0,7826.0,230.0,2633.0,3713.0,,,,
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2024",Western Region,,,,,,,,,,,,,
India,Tripura,"Calendar Year (Jan - Dec), 2024",North-Eastern Region,,634.0,44.3,46.9,37109.0,17405.0,1994.0,1492.0,8364.0,8798.0,3581.0,40.7,151.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2024",Central Region,,18883.0,49.9,53.0,1745807.0,924621.0,209976.0,168362.0,336854.0,126845.0,76032.0,59.9,4380.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2024",Central Region,,2280.0,40.4,42.5,222835.0,94803.0,9868.0,16428.0,45772.0,7864.0,3761.0,47.8,291.0
India,West Bengal,"Calendar Year (Jan - Dec), 2024",Eastern Region,,9948.0,49.5,52.6,1143463.0,601921.0,58452.0,176291.0,186904.0,30936.0,16653.0,53.8,981.0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2023",Eastern Region,,70.0,51.6,52.0,7122.0,3705.0,248.0,128.0,2442.0,,0.0,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Southern Region,,7663.0,144.7,149.2,429719.0,641272.0,208418.0,88111.0,210339.0,48536.0,47154.0,97.2,1334.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2023",North-Eastern Region,,187.0,27.3,28.2,26656.0,7510.0,379.0,530.0,5286.0,1255.0,367.0,29.2,33.0
India,Assam,"Calendar Year (Jan - Dec), 2023",North-Eastern Region,,3085.0,52.0,54.2,207312.0,112374.0,14635.0,14059.0,53654.0,12388.0,5947.0,48.0,478.0
India,Bihar,"Calendar Year (Jan - Dec), 2023",Eastern Region,,7832.0,46.2,48.5,478429.0,231859.0,59792.0,25408.0,82228.0,41304.0,23452.0,56.8,2123.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2023",Northern Region,,449.0,75.6,77.9,99918.0,77839.0,1562.0,21516.0,19101.0,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Central Region,,2979.0,72.5,76.4,216407.0,165326.0,18343.0,42778.0,51955.0,14335.0,6416.0,44.8,613.0
India,Delhi,"Calendar Year (Jan - Dec), 2023",Northern Region,,3775.0,90.2,92.6,1658866.0,1535986.0,45787.0,645011.0,162936.0,,0.0,,
India,Goa,"Calendar Year (Jan - Dec), 2023",Western Region,,668.0,25.1,26.5,102038.0,27004.0,1431.0,4497.0,14493.0,,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Western Region,,8862.0,71.5,80.6,1027453.0,828364.0,82753.0,289466.0,275083.0,20392.0,13161.0,64.5,760.0
India,Haryana,"Calendar Year (Jan - Dec), 2023",Northern Region,,5326.0,58.5,64.6,702370.0,453537.0,62968.0,124017.0,136227.0,20563.0,13560.0,65.9,693.0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Northern Region,,1734.0,33.2,34.2,136486.0,46720.0,8022.0,6758.0,20603.0,7851.0,3262.0,41.5,276.0
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2023",Northern Region,,1877.0,55.6,56.6,162908.0,92151.0,10465.0,11571.0,48452.0,6624.0,4100.0,61.9,336.0
India,Jharkhand,"Calendar Year (Jan - Dec), 2023",Eastern Region,,3298.0,34.2,36.0,304044.0,109382.0,13960.0,17614.0,46632.0,9537.0,4898.0,51.4,455.0
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Southern Region,,11034.0,64.5,69.2,1485253.0,1027656.0,153440.0,204647.0,364206.0,51867.0,41951.0,80.9,1756.0
India,Kerala,"Calendar Year (Jan - Dec), 2023",Southern Region,,6921.0,65.8,67.6,724013.0,489203.0,105186.0,45775.0,184201.0,21886.0,21866.0,99.9,645.0
India,Ladakh,"Calendar Year (Jan - Dec), 2023",Northern Region,,90.0,40.4,41.6,8249.0,3427.0,284.0,205.0,2323.0,23.0,26.0,113.8,2.0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2023",Southern Region,,22.0,10.3,10.3,1413.0,145.0,23.0,4.0,93.0,,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Central Region,,7541.0,71.8,75.2,547367.0,411420.0,103609.0,69288.0,123841.0,27907.0,17779.0,63.7,1343.0
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Western Region,,13972.0,99.6,85.0,3922908.0,3332739.0,121765.0,938589.0,755848.0,20610.0,13828.0,67.1,757.0
India,Manipur,"Calendar Year (Jan - Dec), 2023",North-Eastern Region,,240.0,72.5,76.2,14851.0,11313.0,769.0,554.0,8322.0,420.0,335.0,79.6,27.0
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",North-Eastern Region,,374.0,37.5,38.0,31275.0,11874.0,668.0,2595.0,6693.0,3583.0,1083.0,30.2,94.0
India,Mizoram,"Calendar Year (Jan - Dec), 2023",North-Eastern Region,,227.0,47.1,47.4,14682.0,6954.0,610.0,487.0,4586.0,4970.0,2888.0,58.1,104.0
India,Nagaland,"Calendar Year (Jan - Dec), 2023",North-Eastern Region,,192.0,49.0,50.1,15579.0,7805.0,341.0,458.0,5961.0,135.0,53.0,38.8,12.0
India,Odisha,"Calendar Year (Jan - Dec), 2023",Eastern Region,,5548.0,44.0,46.7,463318.0,216311.0,32894.0,39012.0,70145.0,23342.0,11524.0,49.4,1002.0
India,Puducherry,"Calendar Year (Jan - Dec), 2023",Southern Region,,272.0,66.5,69.2,26469.0,18315.0,4652.0,1517.0,7511.0,896.0,1113.0,124.2,46.0
India,Punjab,"Calendar Year (Jan - Dec), 2023",Northern Region,,6612.0,53.7,56.2,560275.0,314823.0,74166.0,75156.0,89642.0,12423.0,9715.0,78.2,443.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Northern Region,,8304.0,81.6,86.6,594426.0,515018.0,126980.0,94862.0,161820.0,42139.0,32639.0,77.5,1618.0
India,Sikkim,"Calendar Year (Jan - Dec), 2023",Eastern Region,,168.0,42.8,43.4,13554.0,5885.0,303.0,734.0,3349.0,,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Southern Region,,12407.0,105.8,109.4,1211394.0,1325333.0,288990.0,268132.0,341183.0,19919.0,20479.0,102.8,666.0
India,Telangana,"Calendar Year (Jan - Dec), 2023",Southern Region,,5819.0,103.7,111.9,693887.0,776338.0,113529.0,192909.0,293026.0,22001.0,32779.0,149.0,937.0
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2023",Western Region,Since 2020 figures for Dadra & Nagar Haveli include Daman & Diu as well,,19.05,26.3,14188.0,7463.0,207.0,3521.0,2685.0,,,,
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2023",Western Region,,,,,,,,,,,,,
India,Tripura,"Calendar Year (Jan - Dec), 2023",North-Eastern Region,,613.0,41.5,42.6,34065.0,14499.0,2144.0,1068.0,6189.0,8010.0,3238.0,40.4,152.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2023",Central Region,,18415.0,46.0,48.8,1548627.0,755489.0,191365.0,139310.0,252493.0,117608.0,67860.0,57.7,4351.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2023",Central Region,,2202.0,36.4,38.5,200425.0,77094.0,9281.0,13674.0,35029.0,7143.0,3159.0,44.2,289.0
India,West Bengal,"Calendar Year (Jan - Dec), 2023",Eastern Region,,9761.0,47.7,50.7,1056367.0,535875.0,47472.0,165233.0,151478.0,29402.0,14954.0,50.9,976.0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Eastern Region,,72.0,46.5,51.1,6773.0,3462.0,355.0,161.0,2078.0,,293.0,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Southern Region,,7446.0,138.9,142.7,385881.0,550560.0,180601.0,79581.0,173182.0,37802.0,42934.0,113.6,1309.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",North-Eastern Region,,172.0,24.5,25.1,24121.0,6053.0,224.0,444.0,4366.0,1094.0,257.0,23.5,32.0
India,Assam,"Calendar Year (Jan - Dec), 2022",North-Eastern Region,,3043.0,48.9,50.7,189483.0,95992.0,13397.0,11573.0,44357.0,11814.0,5047.0,42.7,482.0
India,Bihar,"Calendar Year (Jan - Dec), 2022",Eastern Region,,7640.0,42.5,44.2,442417.0,195592.0,54380.0,24421.0,65323.0,39510.0,21097.0,53.4,2124.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Northern Region,,438.0,89.7,91.4,89738.0,82007.0,7885.0,20296.0,17210.0,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Central Region,,2897.0,66.4,70.0,197250.0,138103.0,14362.0,36264.0,44388.0,13613.0,5211.0,38.3,626.0
India,Delhi,"Calendar Year (Jan - Dec), 2022",Northern Region,,3712.0,93.2,95.6,1489930.0,1425079.0,26113.0,629841.0,138550.0,,0.0,,
India,Goa,"Calendar Year (Jan - Dec), 2022",Western Region,,663.0,24.3,25.9,92900.0,24092.0,1251.0,4699.0,12589.0,,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Western Region,,8599.0,69.9,81.7,928468.0,758868.0,74134.0,276614.0,244204.0,18467.0,11452.0,62.0,759.0
India,Haryana,"Calendar Year (Jan - Dec), 2022",Northern Region,,5190.0,54.9,60.7,614014.0,372955.0,55803.0,105077.0,111133.0,18537.0,11842.0,63.9,681.0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Northern Region,,1674.0,32.0,33.1,123672.0,40942.0,7543.0,6152.0,17174.0,7268.0,2806.0,38.6,271.0
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Northern Region,,1816.0,51.5,52.2,153229.0,79961.0,9651.0,10325.0,40853.0,6042.0,3502.0,58.0,332.0
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Eastern Region,,3206.0,30.9,32.6,282989.0,92188.0,12221.0,14914.0,38935.0,8734.0,4007.0,45.9,452.0
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Southern Region,,10780.0,60.5,64.3,1382552.0,888922.0,137241.0,185011.0,308639.0,47336.0,38528.0,81.4,1751.0
India,Kerala,"Calendar Year (Jan - Dec), 2022",Southern Region,,6814.0,61.7,63.3,670289.0,424247.0,92121.0,41632.0,160399.0,19909.0,19265.0,96.8,645.0
India,Ladakh,"Calendar Year (Jan - Dec), 2022",Northern Region,,81.0,36.2,36.9,7455.0,2754.0,275.0,186.0,1813.0,19.0,23.0,121.9,2.0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",Southern Region,,21.0,9.6,9.6,1230.0,118.0,14.0,4.0,77.0,,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",Central Region,,7338.0,67.5,70.4,510313.0,359322.0,92038.0,63382.0,104890.0,26367.0,15221.0,57.7,1343.0
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Western Region,,13590.0,91.9,77.8,3491988.0,2717399.0,111547.0,812395.0,614166.0,19753.0,11825.0,59.9,746.0
India,Manipur,"Calendar Year (Jan - Dec), 2022",North-Eastern Region,,225.0,60.2,66.3,13813.0,9163.0,1004.0,450.0,6369.0,433.0,763.0,176.1,27.0
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",North-Eastern Region,,368.0,32.0,32.3,29441.0,9512.0,623.0,1566.0,5760.0,3247.0,947.0,29.2,93.0
India,Mizoram,"Calendar Year (Jan - Dec), 2022",North-Eastern Region,,220.0,45.4,45.7,13102.0,5982.0,559.0,468.0,3863.0,4235.0,2508.0,59.2,102.0
India,Nagaland,"Calendar Year (Jan - Dec), 2022",North-Eastern Region,,182.0,43.0,43.8,14579.0,6381.0,278.0,340.0,4947.0,123.0,43.0,34.9,11.0
India,Odisha,"Calendar Year (Jan - Dec), 2022",Eastern Region,,5367.0,40.8,43.5,421413.0,183405.0,31015.0,36519.0,57644.0,22046.0,10614.0,48.1,992.0
India,Puducherry,"Calendar Year (Jan - Dec), 2022",Southern Region,,265.0,63.6,65.8,24552.0,16156.0,3818.0,1486.0,6570.0,805.0,933.0,115.9,44.0
India,Punjab,"Calendar Year (Jan - Dec), 2022",Northern Region,,6550.0,54.2,56.5,510138.0,288331.0,70702.0,68405.0,76984.0,11218.0,8726.0,77.8,435.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",Northern Region,,7969.0,79.0,83.4,530634.0,442730.0,117138.0,80191.0,138089.0,38352.0,29841.0,77.8,1596.0
India,Sikkim,"Calendar Year (Jan - Dec), 2022",Eastern Region,,165.0,39.3,41.8,12411.0,5182.0,386.0,722.0,2744.0,,243.0,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Southern Region,,12094.0,100.9,103.7,1117412.0,1158606.0,252472.0,266737.0,287532.0,17072.0,17627.0,103.3,657.0
India,Telangana,"Calendar Year (Jan - Dec), 2022",Southern Region,,5605.0,96.8,103.4,638949.0,660857.0,100645.0,176542.0,242151.0,21411.0,28891.0,134.9,927.0
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2022",Western Region,Since 2020 figures for Dadra & Nagar Haveli include Daman & Diu as well,,17.85,25.6,13210.0,6766.0,152.0,3360.0,2354.0,,,,
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2022",Western Region,,,,,,,,,,,,,
India,Tripura,"Calendar Year (Jan - Dec), 2022",North-Eastern Region,,589.0,41.9,43.3,31304.0,13562.0,2534.0,1047.0,5581.0,7857.0,3022.0,38.5,149.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Central Region,,18073.0,43.9,46.4,1394177.0,646284.0,173557.0,127554.0,206282.0,108591.0,58141.0,53.5,4344.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",Central Region,,2176.0,35.7,37.5,180784.0,67751.0,9319.0,13097.0,29588.0,6514.0,2802.0,43.0,287.0
India,West Bengal,"Calendar Year (Jan - Dec), 2022",Eastern Region,,9616.0,46.4,49.0,978185.0,479463.0,47955.0,152686.0,125035.0,28069.0,13654.0,48.6,968.0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Eastern Region,,72.0,46.3,46.5,6043.0,2812.0,145.0,122.0,1782.0,,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021",Southern Region,,7431.0,131.5,135.2,359770.0,486536.0,158371.0,80857.0,146843.0,37396.0,38244.0,102.3,1297.0
