sno,state_name,rural_accounts,urban_accounts,total_accounts,total_balance_crore,rupay_cards,total_balance,avg_balance_per_account,rupay_activation_ratio,rural_share,urban_share,households,population,male_pop,female_pop,literate_pop,male_literate,female_literate,sc_population,st_population,working_pop,female_working_pop,literacy_rate,male_literacy_rate,female_literacy_rate,female_workforce_pct,sc_share,st_share,avg_household_size,women_bank_account_pct,female_literacy_nfhs,male_literacy_nfhs,female_workforce_pct_nfhs,women_mobile_pct,electricity_access_pct,clean_water_pct,women_property_ownership_pct,literacy_gender_gap,Country,Year,Name Of The Region,Additional Info,"Distribution Of Offices Of Scheduled Commercial Banks (UOM:Number), Scaling Factor:1","Credit-Deposit Ratio Of Scheduled Commercial Banks According To Place Of Sanction (UOM:Ratio), Scaling Factor:1","Credit-Deposit Ratio Of Scheduled Commercial Banks According To Place Of Utilisation (UOM:Ratio), Scaling Factor:1","Deposits By Scheduled Commercial Banks In India (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit By Scheduled Commercial Banks In India (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit To Agriculture By Scheduled Commercial Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit To Industry By Scheduled Commercial Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Personal Loans By Scheduled Commercial Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Deposits Of Regional Rural Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit Of Regional Rural Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit-Deposit Ratio Of Regional Rural Banks (UOM:Ratio), Scaling Factor:1","Number Of Branches Of Regional Rural Banks (UOM:Number), Scaling Factor:1",accounts_per_capita
26,Puducherry,156965,127734,284699,146.92,181550,1469199999.9999998,5160.537971682373,0.6376910350932037,0.5513366748741654,0.4486633251258347,302450.0,1247953.0,612511.0,635442.0,957309.0,497378.0,459931.0,196325.0,0.0,444968.0,112037.0,76.71034085418282,81.20311308694865,72.37969791106033,17.631349517343832,15.731762333998155,0.0,4.1261464704909905,93.80000000000001,89.05000000000001,94.35,40.099999999999994,81.05,99.85,99.9,37.55,5.299999999999983,India,"Calendar Year (Jan - Dec), 2025",Southern Region,,288.0,72.0,74.6,32927.0,24561.0,6995.0,2028.0,10330.0,1288.0,1642.0,127.5,47.0,0.22813279025732539
27,Punjab,6226597,3692828,9919425,4988.79,7109626,49887900000.0,5029.313695098254,0.7167377141316155,0.6277175340304504,0.37228246596954967,5513071.0,27743338.0,14639465.0,13103873.0,18707137.0,10436056.0,8271081.0,8860179.0,0.0,9897362.0,1823205.0,67.42929419668246,71.2871406161359,63.11936173374085,13.91348191485067,31.93623997227731,0.0,5.032283821485339,81.5,79.8,87.1,22.9,62.95,99.69999999999999,98.95,62.55,7.299999999999997,India,"Calendar Year (Jan - Dec), 2025",Northern Region,,6952.0,58.5,61.3,668830.0,410319.0,84951.0,94347.0,131727.0,15078.0,12204.0,80.9,465.0,0.3575425927478518
28,Rajasthan,29349936,8983609,38333545,23975.89,28507041,239758900000.0,6254.545464031568,0.7436578328458795,0.7656462766488202,0.23435372335117977,12688355.0,68425124.0,35485738.0,32939386.0,38193809.0,23640103.0,14553706.0,12203834.0,9234013.0,29848985.0,11583352.0,55.81839939376654,66.61860322589317,44.18329473415199,35.16565852198945,17.83531148588054,13.495062135364197,5.392749808781359,80.35,70.0,89.7,17.25,55.4,98.7,97.35,26.55,19.700000000000003,India,"Calendar Year (Jan - Dec), 2025",Northern Region,,8786.0,88.6,94.2,741436.0,698414.0,158529.0,126119.0,238265.0,52770.0,42733.0,81.0,1615.0,0.5602261678035103
29,Sikkim,74268,34267,108535,58.83,73982,588300000.0,5420.371308794398,0.6816418666789514,0.6842769613488736,0.3157230386511264,129006.0,610577.0,323070.0,287507.0,444952.0,251269.0,193683.0,28275.0,206360.0,308138.0,113780.0,72.8740191654779,77.77540471105333,67.36635977558807,39.57468861627717,4.630865558316151,33.797539049128936,4.732934902252609,76.35,89.5,93.6,33.7,90.1,99.3,93.75,53.75,4.099999999999994,India,"Calendar Year (Jan - Dec), 2025",Eastern Region,,185.0,43.4,43.8,16290.0,7136.0,257.0,919.0,4334.0,,,,,0.17775808784150074
30,Tamil Nadu,11688753,7094283,18783036,7859.97,13762332,78599700000.0,4184.611050098611,0.7327000810731555,0.6223037106461383,0.3776962893538616,18524982.0,72147030.0,36137975.0,36009055.0,51837507.0,28040491.0,23797016.0,14438445.0,794697.0,32884681.0,11449703.0,71.84981419193555,77.59286733692188,66.08619970726808,31.79673279401528,20.012528582257648,1.101496485718123,3.894580302426205,92.2,84.25,90.8,40.45,75.05000000000001,99.35,98.6,47.6,6.549999999999997,India,"Calendar Year (Jan - Dec), 2025",Southern Region,,13204.0,115.4,120.5,1463026.0,1762746.0,381757.0,309938.0,503837.0,23234.0,27509.0,118.4,689.0,0.2603438561504195
31,Telangana,9585559,3681382,13266941,5810.37,9162694,58103700000.0,4379.5853166151865,0.6906410452869278,0.7225146324235556,0.2774853675764443,8122358.0,34226067.0,17211407.0,17014660.0,20142813.0,11401974.0,8740839.0,5350055.0,3161423.0,16045589.0,6585866.0,58.852257257604265,66.24661191266932,51.37239886074715,38.70700913212489,15.631521436570553,9.236886610430583,4.2138092164861485,84.1,69.55,85.75,41.85,62.900000000000006,99.6,98.9,64.2,16.200000000000003,India,"Calendar Year (Jan - Dec), 2025",Southern Region,,6269.0,111.6,120.5,867571.0,1045686.0,144565.0,232544.0,437202.0,28496.0,41514.0,145.7,940.0,0.38762680503138147
32,The Dadra And Nagar Haveli And Daman And Diu,233002,12648,245650,196.32,176992,1963200000.0,7991.858335029514,0.7205047832281701,0.9485121107266437,0.0514878892733564,137414.0,586956.0,344061.0,242895.0,411636.0,267164.0,144472.0,12310.0,193927.0,278432.0,51705.0,70.13064011612454,77.6501841243268,59.4791988307705,21.286975853763973,2.097261123491369,33.039444183209646,4.27144250221957,83.65,77.80000000000001,93.5,31.5,60.45,99.7,95.55000000000001,55.8,15.699999999999989,,,,,,,,,,,,,,,,,0.41851518682831423
33,Tripura,1031588,126091,1157679,704.17,642387,7041700000.0,6082.6014810668585,0.5548921592254847,0.8910829340430292,0.1089170659569708,855556.0,3673917.0,1874376.0,1799541.0,2804783.0,1501369.0,1303414.0,654918.0,1166813.0,1469521.0,424195.0,76.34312370148808,80.09967050367696,72.43035863033963,23.572399850850857,17.826151216807563,31.759372898190136,4.294186470552483,76.30000000000001,83.4,89.75,20.85,57.1,98.55000000000001,91.1,17.05,6.349999999999994,India,"Calendar Year (Jan - Dec), 2025",North-Eastern Region,,646.0,43.2,45.4,42140.0,19138.0,2406.0,1410.0,8216.0,10066.0,4019.0,39.9,154.0,0.3151075541445275
34,Uttar Pradesh,82926155,20312821,103238976,64028.48,71176180,640284800000.0,6201.967752954078,0.6894312861065185,0.8032446486102303,0.19675535138976968,33447517.0,199809313.0,104478906.0,95330407.0,114395735.0,68233853.0,46161882.0,41357480.0,1134273.0,65813751.0,15967773.0,57.25245399347326,65.30873610028037,48.42304092963749,16.749926390223006,20.698474650178092,0.5676777438296883,5.973816023473431,76.94999999999999,69.8,82.65,16.25,51.15,93.25,99.25,50.15,12.850000000000009,India,"Calendar Year (Jan - Dec), 2025",Central Region,,19436.0,50.9,54.0,1909885.0,1031463.0,211646.0,187053.0,387222.0,134243.0,82689.0,61.6,4373.0,0.5166875079541463
35,Uttarakhand,2916043,1153758,4069801,2980.08,2751042,29800800000.0,7322.42190711536,0.6759647461878358,0.7165075147408927,0.28349248525910725,2056975.0,10086292.0,5137773.0,4948519.0,6880953.0,3863708.0,3017245.0,1892516.0,291903.0,3872275.0,1320354.0,68.22083873835896,75.20199899839872,60.97268697968018,26.68180116111507,18.763248178815367,2.8940566067292126,4.903458719721922,80.55,80.7,88.8,21.2,64.4,99.65,96.9,24.200000000000003,8.099999999999994,India,"Calendar Year (Jan - Dec), 2025",Central Region,,2343.0,41.5,43.5,246010.0,106979.0,10539.0,19769.0,50234.0,8505.0,4589.0,54.0,293.0,0.40349823304738747
