state_name,households,population,male_pop,female_pop,literate_pop,male_literate,female_literate,sc_population,st_population,working_pop,female_working_pop,literacy_rate,male_literacy_rate,female_literacy_rate,female_workforce_pct,sc_share,st_share,avg_household_size
Haryana,4857524.0,25351462.0,13494734.0,11856728.0,16598988.0,9794067.0,6804921.0,5113615.0,0.0,8916508.0,2109872.0,65.47546646422207,72.57695483290001,57.392908060301295,17.794723805758217,20.1708879748237,0.0,5.219009108344086
Himachal Pradesh,1483280.0,6864602.0,3481873.0,3382729.0,5039736.0,2752590.0,2287146.0,1729252.0,392126.0,3559422.0,1516049.0,73.41628837330991,79.05486501087202,67.6124513669289,44.81733535261028,25.190855930176287,5.712290384788513,4.627987972601262
Jammu And Kashmir,2079471.0,12267013.0,6483906.0,5783107.0,6887227.0,4145536.0,2741691.0,924485.0,1275106.0,4195761.0,1093775.0,56.14428712189349,63.935781919108635,47.40861616428678,18.913276202567236,7.5363497209956485,10.3945923918072,5.899102704485901
Jharkhand,6254781.0,32988134.0,16930315.0,16057819.0,18328069.0,10882519.0,7445550.0,3985644.0,8645042.0,13098274.0,4673505.0,55.55958090869887,64.27830196898286,46.36713117765246,29.104232648281815,12.082053504451025,26.20652019905097,5.274066989715547
Karnataka,13357027.0,61095297.0,30966657.0,30128640.0,40647322.0,22508471.0,18138851.0,10474992.0,4248987.0,27872597.0,9602481.0,66.5310162908284,72.68615078469723,60.20467900310137,31.87160455964823,17.145332806877096,6.954687526930265,4.574019128657897
Kerala,7853754.0,33406061.0,16027412.0,17378649.0,28135824.0,13704903.0,14430921.0,3039573.0,484839.0,11619063.0,3167494.0,84.2237101824127,85.50914520697415,83.03822121040594,18.226353498479657,9.098866819407412,1.4513504001564268,4.253515070627372
Ladakh,40247.0,274289.0,156756.0,117533.0,180006.0,119135.0,60871.0,506.0,218193.0,126952.0,33848.0,65.62640135040049,76.00028069101023,51.790560948839904,28.798720359388426,0.18447695678645515,79.54857832432216,6.815141501229905
Lakshadweep,11574.0,64473.0,33123.0,31350.0,52553.0,28023.0,24530.0,0.0,61120.0,18753.0,3435.0,81.51164053169543,84.60284394529481,78.24561403508771,10.956937799043063,0.0,94.79937338110527,5.570502851218248
Madhya Pradesh,15092244.0,72625066.0,37611429.0,35013637.0,42850356.0,25173717.0,17676639.0,11342259.0,15313651.0,31573791.0,11426917.0,59.002157739863534,66.93103045885334,50.48501245386191,32.635618516294095,15.617554137575587,21.085903040693964,4.812078707447348
Maharashtra,23747180.0,109288922.0,56558448.0,52730474.0,79045268.0,43846904.0,35198364.0,13055964.0,10485120.0,48143482.0,16547616.0,72.32688048656935,77.52494198567825,66.75146519638719,31.38150436500912,11.946283082561653,9.593945852993224,4.602185269998374
Manipur,557859.0,2855794.0,1438586.0,1417208.0,1908476.0,1039858.0,868618.0,97328.0,1167422.0,1304610.0,565202.0,66.8282095977511,72.2833393345966,61.29079147168235,39.8813723885273,3.4080889587974483,40.8790690084789,5.119203956555331
Meghalaya,548059.0,2966889.0,1491832.0,1475057.0,1785005.0,913879.0,871126.0,17355.0,2555861.0,1185619.0,481910.0,60.16419893025995,61.2588414781289,59.05710762363759,32.67060188182558,0.5849561611506194,86.14616185506098,5.4134481871477345
